"","Month","Series_ID","Title","Employed"
"66",1944 Jun,"CEU0500000001","Total Private",35949
"67",1944 Jul,"CEU0500000001","Total Private",35861
"68",1944 Aug,"CEU0500000001","Total Private",35828
"69",1944 Sep,"CEU0500000001","Total Private",35652
"70",1944 Oct,"CEU0500000001","Total Private",35555
"71",1944 Nov,"CEU0500000001","Total Private",35597
"72",1944 Dec,"CEU0500000001","Total Private",35850
"73",1945 Jan,"CEU0500000001","Total Private",35229
"74",1945 Feb,"CEU0500000001","Total Private",35290
"75",1945 Mar,"CEU0500000001","Total Private",35411
"76",1945 Apr,"CEU0500000001","Total Private",35161
"77",1945 May,"CEU0500000001","Total Private",35024
"78",1945 Jun,"CEU0500000001","Total Private",35065
"79",1945 Jul,"CEU0500000001","Total Private",34769
"80",1945 Aug,"CEU0500000001","Total Private",34490
"81",1945 Sep,"CEU0500000001","Total Private",32760
"82",1945 Oct,"CEU0500000001","Total Private",32833
"83",1945 Nov,"CEU0500000001","Total Private",33354
"84",1945 Dec,"CEU0500000001","Total Private",33755
"85",1946 Jan,"CEU0500000001","Total Private",33656
"86",1946 Feb,"CEU0500000001","Total Private",33092
"87",1946 Mar,"CEU0500000001","Total Private",34240
"88",1946 Apr,"CEU0500000001","Total Private",34997
"89",1946 May,"CEU0500000001","Total Private",35409
"90",1946 Jun,"CEU0500000001","Total Private",36074
"91",1946 Jul,"CEU0500000001","Total Private",36474
"92",1946 Aug,"CEU0500000001","Total Private",37139
"93",1946 Sep,"CEU0500000001","Total Private",37532
"94",1946 Oct,"CEU0500000001","Total Private",37637
"95",1946 Nov,"CEU0500000001","Total Private",38045
"96",1946 Dec,"CEU0500000001","Total Private",38351
"97",1947 Jan,"CEU0500000001","Total Private",37510
"98",1947 Feb,"CEU0500000001","Total Private",37495
"99",1947 Mar,"CEU0500000001","Total Private",37720
"100",1947 Apr,"CEU0500000001","Total Private",37686
"101",1947 May,"CEU0500000001","Total Private",37772
"102",1947 Jun,"CEU0500000001","Total Private",38249
"103",1947 Jul,"CEU0500000001","Total Private",38186
"104",1947 Aug,"CEU0500000001","Total Private",38660
"105",1947 Sep,"CEU0500000001","Total Private",39077
"106",1947 Oct,"CEU0500000001","Total Private",39197
"107",1947 Nov,"CEU0500000001","Total Private",39283
"108",1947 Dec,"CEU0500000001","Total Private",39708
"109",1948 Jan,"CEU0500000001","Total Private",38617
"110",1948 Feb,"CEU0500000001","Total Private",38344
"111",1948 Mar,"CEU0500000001","Total Private",38624
"112",1948 Apr,"CEU0500000001","Total Private",38368
"113",1948 May,"CEU0500000001","Total Private",38728
"114",1948 Jun,"CEU0500000001","Total Private",39240
"115",1948 Jul,"CEU0500000001","Total Private",39355
"116",1948 Aug,"CEU0500000001","Total Private",39674
"117",1948 Sep,"CEU0500000001","Total Private",40012
"118",1948 Oct,"CEU0500000001","Total Private",39881
"119",1948 Nov,"CEU0500000001","Total Private",39763
"120",1948 Dec,"CEU0500000001","Total Private",39946
"121",1949 Jan,"CEU0500000001","Total Private",38282
"122",1949 Feb,"CEU0500000001","Total Private",37932
"123",1949 Mar,"CEU0500000001","Total Private",37785
"124",1949 Apr,"CEU0500000001","Total Private",37857
"125",1949 May,"CEU0500000001","Total Private",37625
"126",1949 Jun,"CEU0500000001","Total Private",37747
"127",1949 Jul,"CEU0500000001","Total Private",37558
"128",1949 Aug,"CEU0500000001","Total Private",37984
"129",1949 Sep,"CEU0500000001","Total Private",38365
"130",1949 Oct,"CEU0500000001","Total Private",37487
"131",1949 Nov,"CEU0500000001","Total Private",37729
"132",1949 Dec,"CEU0500000001","Total Private",38370
"133",1950 Jan,"CEU0500000001","Total Private",37056
"134",1950 Feb,"CEU0500000001","Total Private",36649
"135",1950 Mar,"CEU0500000001","Total Private",37281
"136",1950 Apr,"CEU0500000001","Total Private",37842
"137",1950 May,"CEU0500000001","Total Private",38299
"138",1950 Jun,"CEU0500000001","Total Private",39063
"139",1950 Jul,"CEU0500000001","Total Private",39369
"140",1950 Aug,"CEU0500000001","Total Private",40384
"141",1950 Sep,"CEU0500000001","Total Private",40805
"142",1950 Oct,"CEU0500000001","Total Private",40989
"143",1950 Nov,"CEU0500000001","Total Private",40948
"144",1950 Dec,"CEU0500000001","Total Private",41316
"145",1951 Jan,"CEU0500000001","Total Private",40337
"146",1951 Feb,"CEU0500000001","Total Private",40449
"147",1951 Mar,"CEU0500000001","Total Private",40851
"148",1951 Apr,"CEU0500000001","Total Private",40988
"149",1951 May,"CEU0500000001","Total Private",41186
"150",1951 Jun,"CEU0500000001","Total Private",41606
"151",1951 Jul,"CEU0500000001","Total Private",41546
"152",1951 Aug,"CEU0500000001","Total Private",41874
"153",1951 Sep,"CEU0500000001","Total Private",41975
"154",1951 Oct,"CEU0500000001","Total Private",41958
"155",1951 Nov,"CEU0500000001","Total Private",41970
"156",1951 Dec,"CEU0500000001","Total Private",42389
"157",1952 Jan,"CEU0500000001","Total Private",41064
"158",1952 Feb,"CEU0500000001","Total Private",41109
"159",1952 Mar,"CEU0500000001","Total Private",41222
"160",1952 Apr,"CEU0500000001","Total Private",41557
"161",1952 May,"CEU0500000001","Total Private",41614
"162",1952 Jun,"CEU0500000001","Total Private",41637
"163",1952 Jul,"CEU0500000001","Total Private",41441
"164",1952 Aug,"CEU0500000001","Total Private",42574
"165",1952 Sep,"CEU0500000001","Total Private",43146
"166",1952 Oct,"CEU0500000001","Total Private",43312
"167",1952 Nov,"CEU0500000001","Total Private",43495
"168",1952 Dec,"CEU0500000001","Total Private",44008
"169",1953 Jan,"CEU0500000001","Total Private",42667
"170",1953 Feb,"CEU0500000001","Total Private",42736
"171",1953 Mar,"CEU0500000001","Total Private",43054
"172",1953 Apr,"CEU0500000001","Total Private",43266
"173",1953 May,"CEU0500000001","Total Private",43457
"174",1953 Jun,"CEU0500000001","Total Private",43877
"175",1953 Jul,"CEU0500000001","Total Private",43873
"176",1953 Aug,"CEU0500000001","Total Private",44098
"177",1953 Sep,"CEU0500000001","Total Private",44168
"178",1953 Oct,"CEU0500000001","Total Private",44008
"179",1953 Nov,"CEU0500000001","Total Private",43664
"180",1953 Dec,"CEU0500000001","Total Private",43757
"181",1954 Jan,"CEU0500000001","Total Private",42002
"182",1954 Feb,"CEU0500000001","Total Private",41752
"183",1954 Mar,"CEU0500000001","Total Private",41691
"184",1954 Apr,"CEU0500000001","Total Private",41956
"185",1954 May,"CEU0500000001","Total Private",41837
"186",1954 Jun,"CEU0500000001","Total Private",42177
"187",1954 Jul,"CEU0500000001","Total Private",42047
"188",1954 Aug,"CEU0500000001","Total Private",42305
"189",1954 Sep,"CEU0500000001","Total Private",42540
"190",1954 Oct,"CEU0500000001","Total Private",42581
"191",1954 Nov,"CEU0500000001","Total Private",42742
"192",1954 Dec,"CEU0500000001","Total Private",43187
"193",1955 Jan,"CEU0500000001","Total Private",41824
"194",1955 Feb,"CEU0500000001","Total Private",41829
"195",1955 Mar,"CEU0500000001","Total Private",42304
"196",1955 Apr,"CEU0500000001","Total Private",42835
"197",1955 May,"CEU0500000001","Total Private",43231
"198",1955 Jun,"CEU0500000001","Total Private",43939
"199",1955 Jul,"CEU0500000001","Total Private",44039
"200",1955 Aug,"CEU0500000001","Total Private",44476
"201",1955 Sep,"CEU0500000001","Total Private",44758
"202",1955 Oct,"CEU0500000001","Total Private",44873
"203",1955 Nov,"CEU0500000001","Total Private",45054
"204",1955 Dec,"CEU0500000001","Total Private",45507
"205",1956 Jan,"CEU0500000001","Total Private",44092
"206",1956 Feb,"CEU0500000001","Total Private",44030
"207",1956 Mar,"CEU0500000001","Total Private",44250
"208",1956 Apr,"CEU0500000001","Total Private",44590
"209",1956 May,"CEU0500000001","Total Private",44845
"210",1956 Jun,"CEU0500000001","Total Private",45414
"211",1956 Jul,"CEU0500000001","Total Private",44671
"212",1956 Aug,"CEU0500000001","Total Private",45596
"213",1956 Sep,"CEU0500000001","Total Private",45715
"214",1956 Oct,"CEU0500000001","Total Private",45855
"215",1956 Nov,"CEU0500000001","Total Private",45820
"216",1956 Dec,"CEU0500000001","Total Private",46169
"217",1957 Jan,"CEU0500000001","Total Private",44554
"218",1957 Feb,"CEU0500000001","Total Private",44483
"219",1957 Mar,"CEU0500000001","Total Private",44632
"220",1957 Apr,"CEU0500000001","Total Private",44976
"221",1957 May,"CEU0500000001","Total Private",45152
"222",1957 Jun,"CEU0500000001","Total Private",45600
"223",1957 Jul,"CEU0500000001","Total Private",45528
"224",1957 Aug,"CEU0500000001","Total Private",45830
"225",1957 Sep,"CEU0500000001","Total Private",45817
"226",1957 Oct,"CEU0500000001","Total Private",45605
"227",1957 Nov,"CEU0500000001","Total Private",45323
"228",1957 Dec,"CEU0500000001","Total Private",45320
"229",1958 Jan,"CEU0500000001","Total Private",43532
"230",1958 Feb,"CEU0500000001","Total Private",42732
"231",1958 Mar,"CEU0500000001","Total Private",42534
"232",1958 Apr,"CEU0500000001","Total Private",42568
"233",1958 May,"CEU0500000001","Total Private",42779
"234",1958 Jun,"CEU0500000001","Total Private",43277
"235",1958 Jul,"CEU0500000001","Total Private",43291
"236",1958 Aug,"CEU0500000001","Total Private",43736
"237",1958 Sep,"CEU0500000001","Total Private",44152
"238",1958 Oct,"CEU0500000001","Total Private",44060
"239",1958 Nov,"CEU0500000001","Total Private",44408
"240",1958 Dec,"CEU0500000001","Total Private",44689
"241",1959 Jan,"CEU0500000001","Total Private",43613
"242",1959 Feb,"CEU0500000001","Total Private",43497
"243",1959 Mar,"CEU0500000001","Total Private",43919
"244",1959 Apr,"CEU0500000001","Total Private",44591
"245",1959 May,"CEU0500000001","Total Private",45202
"246",1959 Jun,"CEU0500000001","Total Private",45903
"247",1959 Jul,"CEU0500000001","Total Private",45927
"248",1959 Aug,"CEU0500000001","Total Private",45746
"249",1959 Sep,"CEU0500000001","Total Private",45868
"250",1959 Oct,"CEU0500000001","Total Private",45674
"251",1959 Nov,"CEU0500000001","Total Private",45800
"252",1959 Dec,"CEU0500000001","Total Private",46441
"253",1960 Jan,"CEU0500000001","Total Private",45135
"254",1960 Feb,"CEU0500000001","Total Private",45060
"255",1960 Mar,"CEU0500000001","Total Private",44932
"256",1960 Apr,"CEU0500000001","Total Private",45711
"257",1960 May,"CEU0500000001","Total Private",45889
"258",1960 Jun,"CEU0500000001","Total Private",46344
"259",1960 Jul,"CEU0500000001","Total Private",46241
"260",1960 Aug,"CEU0500000001","Total Private",46446
"261",1960 Sep,"CEU0500000001","Total Private",46435
"262",1960 Oct,"CEU0500000001","Total Private",46214
"263",1960 Nov,"CEU0500000001","Total Private",45870
"264",1960 Dec,"CEU0500000001","Total Private",45702
"265",1961 Jan,"CEU0500000001","Total Private",44208
"266",1961 Feb,"CEU0500000001","Total Private",43785
"267",1961 Mar,"CEU0500000001","Total Private",44037
"268",1961 Apr,"CEU0500000001","Total Private",44464
"269",1961 May,"CEU0500000001","Total Private",44994
"270",1961 Jun,"CEU0500000001","Total Private",45771
"271",1961 Jul,"CEU0500000001","Total Private",45846
"272",1961 Aug,"CEU0500000001","Total Private",46221
"273",1961 Sep,"CEU0500000001","Total Private",46304
"274",1961 Oct,"CEU0500000001","Total Private",46283
"275",1961 Nov,"CEU0500000001","Total Private",46333
"276",1961 Dec,"CEU0500000001","Total Private",46542
"277",1962 Jan,"CEU0500000001","Total Private",45060
"278",1962 Feb,"CEU0500000001","Total Private",45096
"279",1962 Mar,"CEU0500000001","Total Private",45345
"280",1962 Apr,"CEU0500000001","Total Private",46172
"281",1962 May,"CEU0500000001","Total Private",46566
"282",1962 Jun,"CEU0500000001","Total Private",47155
"283",1962 Jul,"CEU0500000001","Total Private",47211
"284",1962 Aug,"CEU0500000001","Total Private",47470
"285",1962 Sep,"CEU0500000001","Total Private",47613
"286",1962 Oct,"CEU0500000001","Total Private",47498
"287",1962 Nov,"CEU0500000001","Total Private",47288
"288",1962 Dec,"CEU0500000001","Total Private",47380
"289",1963 Jan,"CEU0500000001","Total Private",45889
"290",1963 Feb,"CEU0500000001","Total Private",45769
"291",1963 Mar,"CEU0500000001","Total Private",46048
"292",1963 Apr,"CEU0500000001","Total Private",46832
"293",1963 May,"CEU0500000001","Total Private",47241
"294",1963 Jun,"CEU0500000001","Total Private",47892
"295",1963 Jul,"CEU0500000001","Total Private",47986
"296",1963 Aug,"CEU0500000001","Total Private",48228
"297",1963 Sep,"CEU0500000001","Total Private",48364
"298",1963 Oct,"CEU0500000001","Total Private",48348
"299",1963 Nov,"CEU0500000001","Total Private",48121
"300",1963 Dec,"CEU0500000001","Total Private",48355
"301",1964 Jan,"CEU0500000001","Total Private",46879
"302",1964 Feb,"CEU0500000001","Total Private",46959
"303",1964 Mar,"CEU0500000001","Total Private",47275
"304",1964 Apr,"CEU0500000001","Total Private",47812
"305",1964 May,"CEU0500000001","Total Private",48326
"306",1964 Jun,"CEU0500000001","Total Private",49110
"307",1964 Jul,"CEU0500000001","Total Private",49275
"308",1964 Aug,"CEU0500000001","Total Private",49558
"309",1964 Sep,"CEU0500000001","Total Private",49778
"310",1964 Oct,"CEU0500000001","Total Private",49459
"311",1964 Nov,"CEU0500000001","Total Private",49673
"312",1964 Dec,"CEU0500000001","Total Private",50056
"313",1965 Jan,"CEU0500000001","Total Private",48603
"314",1965 Feb,"CEU0500000001","Total Private",48632
"315",1965 Mar,"CEU0500000001","Total Private",49014
"316",1965 Apr,"CEU0500000001","Total Private",49753
"317",1965 May,"CEU0500000001","Total Private",50284
"318",1965 Jun,"CEU0500000001","Total Private",51146
"319",1965 Jul,"CEU0500000001","Total Private",51301
"320",1965 Aug,"CEU0500000001","Total Private",51604
"321",1965 Sep,"CEU0500000001","Total Private",51761
"322",1965 Oct,"CEU0500000001","Total Private",51796
"323",1965 Nov,"CEU0500000001","Total Private",51901
"324",1965 Dec,"CEU0500000001","Total Private",52405
"325",1966 Jan,"CEU0500000001","Total Private",50964
"326",1966 Feb,"CEU0500000001","Total Private",51015
"327",1966 Mar,"CEU0500000001","Total Private",51550
"328",1966 Apr,"CEU0500000001","Total Private",52234
"329",1966 May,"CEU0500000001","Total Private",52747
"330",1966 Jun,"CEU0500000001","Total Private",53811
"331",1966 Jul,"CEU0500000001","Total Private",53847
"332",1966 Aug,"CEU0500000001","Total Private",54122
"333",1966 Sep,"CEU0500000001","Total Private",54142
"334",1966 Oct,"CEU0500000001","Total Private",54147
"335",1966 Nov,"CEU0500000001","Total Private",54177
"336",1966 Dec,"CEU0500000001","Total Private",54562
"337",1967 Jan,"CEU0500000001","Total Private",53092
"338",1967 Feb,"CEU0500000001","Total Private",52928
"339",1967 Mar,"CEU0500000001","Total Private",53218
"340",1967 Apr,"CEU0500000001","Total Private",53596
"341",1967 May,"CEU0500000001","Total Private",53975
"342",1967 Jun,"CEU0500000001","Total Private",54826
"343",1967 Jul,"CEU0500000001","Total Private",54835
"344",1967 Aug,"CEU0500000001","Total Private",55148
"345",1967 Sep,"CEU0500000001","Total Private",55078
"346",1967 Oct,"CEU0500000001","Total Private",54983
"347",1967 Nov,"CEU0500000001","Total Private",55391
"348",1967 Dec,"CEU0500000001","Total Private",55804
"349",1968 Jan,"CEU0500000001","Total Private",54017
"350",1968 Feb,"CEU0500000001","Total Private",54266
"351",1968 Mar,"CEU0500000001","Total Private",54565
"352",1968 Apr,"CEU0500000001","Total Private",55252
"353",1968 May,"CEU0500000001","Total Private",55563
"354",1968 Jun,"CEU0500000001","Total Private",56531
"355",1968 Jul,"CEU0500000001","Total Private",56569
"356",1968 Aug,"CEU0500000001","Total Private",56864
"357",1968 Sep,"CEU0500000001","Total Private",56939
"358",1968 Oct,"CEU0500000001","Total Private",57025
"359",1968 Nov,"CEU0500000001","Total Private",57277
"360",1968 Dec,"CEU0500000001","Total Private",57735
"361",1969 Jan,"CEU0500000001","Total Private",56234
"362",1969 Feb,"CEU0500000001","Total Private",56349
"363",1969 Mar,"CEU0500000001","Total Private",56813
"364",1969 Apr,"CEU0500000001","Total Private",57409
"365",1969 May,"CEU0500000001","Total Private",57866
"366",1969 Jun,"CEU0500000001","Total Private",58903
"367",1969 Jul,"CEU0500000001","Total Private",58821
"368",1969 Aug,"CEU0500000001","Total Private",59195
"369",1969 Sep,"CEU0500000001","Total Private",59059
"370",1969 Oct,"CEU0500000001","Total Private",59106
"371",1969 Nov,"CEU0500000001","Total Private",59049
"372",1969 Dec,"CEU0500000001","Total Private",59372
"373",1970 Jan,"CEU0500000001","Total Private",57675
"374",1970 Feb,"CEU0500000001","Total Private",57653
"375",1970 Mar,"CEU0500000001","Total Private",57995
"376",1970 Apr,"CEU0500000001","Total Private",58239
"377",1970 May,"CEU0500000001","Total Private",58299
"378",1970 Jun,"CEU0500000001","Total Private",58998
"379",1970 Jul,"CEU0500000001","Total Private",58752
"380",1970 Aug,"CEU0500000001","Total Private",58770
"381",1970 Sep,"CEU0500000001","Total Private",58739
"382",1970 Oct,"CEU0500000001","Total Private",58160
"383",1970 Nov,"CEU0500000001","Total Private",58006
"384",1970 Dec,"CEU0500000001","Total Private",58532
"385",1971 Jan,"CEU0500000001","Total Private",56979
"386",1971 Feb,"CEU0500000001","Total Private",56791
"387",1971 Mar,"CEU0500000001","Total Private",57094
"388",1971 Apr,"CEU0500000001","Total Private",57673
"389",1971 May,"CEU0500000001","Total Private",58147
"390",1971 Jun,"CEU0500000001","Total Private",58894
"391",1971 Jul,"CEU0500000001","Total Private",58664
"392",1971 Aug,"CEU0500000001","Total Private",58868
"393",1971 Sep,"CEU0500000001","Total Private",59100
"394",1971 Oct,"CEU0500000001","Total Private",58995
"395",1971 Nov,"CEU0500000001","Total Private",59173
"396",1971 Dec,"CEU0500000001","Total Private",59499
"397",1972 Jan,"CEU0500000001","Total Private",58149
"398",1972 Feb,"CEU0500000001","Total Private",58180
"399",1972 Mar,"CEU0500000001","Total Private",58710
"400",1972 Apr,"CEU0500000001","Total Private",59343
"401",1972 May,"CEU0500000001","Total Private",59927
"402",1972 Jun,"CEU0500000001","Total Private",60998
"403",1972 Jul,"CEU0500000001","Total Private",60540
"404",1972 Aug,"CEU0500000001","Total Private",61172
"405",1972 Sep,"CEU0500000001","Total Private",61288
"406",1972 Oct,"CEU0500000001","Total Private",61611
"407",1972 Nov,"CEU0500000001","Total Private",61887
"408",1972 Dec,"CEU0500000001","Total Private",62194
"409",1973 Jan,"CEU0500000001","Total Private",60862
"410",1973 Feb,"CEU0500000001","Total Private",61078
"411",1973 Mar,"CEU0500000001","Total Private",61560
"412",1973 Apr,"CEU0500000001","Total Private",62146
"413",1973 May,"CEU0500000001","Total Private",62699
"414",1973 Jun,"CEU0500000001","Total Private",63650
"415",1973 Jul,"CEU0500000001","Total Private",63378
"416",1973 Aug,"CEU0500000001","Total Private",63870
"417",1973 Sep,"CEU0500000001","Total Private",64050
"418",1973 Oct,"CEU0500000001","Total Private",64253
"419",1973 Nov,"CEU0500000001","Total Private",64484
"420",1973 Dec,"CEU0500000001","Total Private",64564
"421",1974 Jan,"CEU0500000001","Total Private",62905
"422",1974 Feb,"CEU0500000001","Total Private",62822
"423",1974 Mar,"CEU0500000001","Total Private",63080
"424",1974 Apr,"CEU0500000001","Total Private",63623
"425",1974 May,"CEU0500000001","Total Private",64210
"426",1974 Jun,"CEU0500000001","Total Private",64989
"427",1974 Jul,"CEU0500000001","Total Private",64717
"428",1974 Aug,"CEU0500000001","Total Private",64952
"429",1974 Sep,"CEU0500000001","Total Private",64930
"430",1974 Oct,"CEU0500000001","Total Private",64814
"431",1974 Nov,"CEU0500000001","Total Private",64331
"432",1974 Dec,"CEU0500000001","Total Private",63653
"433",1975 Jan,"CEU0500000001","Total Private",61525
"434",1975 Feb,"CEU0500000001","Total Private",60809
"435",1975 Mar,"CEU0500000001","Total Private",60788
"436",1975 Apr,"CEU0500000001","Total Private",61114
"437",1975 May,"CEU0500000001","Total Private",61724
"438",1975 Jun,"CEU0500000001","Total Private",62369
"439",1975 Jul,"CEU0500000001","Total Private",62321
"440",1975 Aug,"CEU0500000001","Total Private",62971
"441",1975 Sep,"CEU0500000001","Total Private",63178
"442",1975 Oct,"CEU0500000001","Total Private",63293
"443",1975 Nov,"CEU0500000001","Total Private",63330
"444",1975 Dec,"CEU0500000001","Total Private",63575
"445",1976 Jan,"CEU0500000001","Total Private",62377
"446",1976 Feb,"CEU0500000001","Total Private",62420
"447",1976 Mar,"CEU0500000001","Total Private",62957
"448",1976 Apr,"CEU0500000001","Total Private",63817
"449",1976 May,"CEU0500000001","Total Private",64326
"450",1976 Jun,"CEU0500000001","Total Private",65076
"451",1976 Jul,"CEU0500000001","Total Private",64992
"452",1976 Aug,"CEU0500000001","Total Private",65375
"453",1976 Sep,"CEU0500000001","Total Private",65671
"454",1976 Oct,"CEU0500000001","Total Private",65474
"455",1976 Nov,"CEU0500000001","Total Private",65674
"456",1976 Dec,"CEU0500000001","Total Private",65857
"457",1977 Jan,"CEU0500000001","Total Private",64471
"458",1977 Feb,"CEU0500000001","Total Private",64495
"459",1977 Mar,"CEU0500000001","Total Private",65284
"460",1977 Apr,"CEU0500000001","Total Private",66219
"461",1977 May,"CEU0500000001","Total Private",66989
"462",1977 Jun,"CEU0500000001","Total Private",67988
"463",1977 Jul,"CEU0500000001","Total Private",67980
"464",1977 Aug,"CEU0500000001","Total Private",68381
"465",1977 Sep,"CEU0500000001","Total Private",68814
"466",1977 Oct,"CEU0500000001","Total Private",68871
"467",1977 Nov,"CEU0500000001","Total Private",69145
"468",1977 Dec,"CEU0500000001","Total Private",69375
"469",1978 Jan,"CEU0500000001","Total Private",67831
"470",1978 Feb,"CEU0500000001","Total Private",67866
"471",1978 Mar,"CEU0500000001","Total Private",68719
"472",1978 Apr,"CEU0500000001","Total Private",69970
"473",1978 May,"CEU0500000001","Total Private",70718
"474",1978 Jun,"CEU0500000001","Total Private",71809
"475",1978 Jul,"CEU0500000001","Total Private",71727
"476",1978 Aug,"CEU0500000001","Total Private",72187
"477",1978 Sep,"CEU0500000001","Total Private",72430
"478",1978 Oct,"CEU0500000001","Total Private",72609
"479",1978 Nov,"CEU0500000001","Total Private",72998
"480",1978 Dec,"CEU0500000001","Total Private",73309
"481",1979 Jan,"CEU0500000001","Total Private",71724
"482",1979 Feb,"CEU0500000001","Total Private",71731
"483",1979 Mar,"CEU0500000001","Total Private",72540
"484",1979 Apr,"CEU0500000001","Total Private",73047
"485",1979 May,"CEU0500000001","Total Private",73824
"486",1979 Jun,"CEU0500000001","Total Private",74746
"487",1979 Jul,"CEU0500000001","Total Private",74469
"488",1979 Aug,"CEU0500000001","Total Private",74652
"489",1979 Sep,"CEU0500000001","Total Private",74824
"490",1979 Oct,"CEU0500000001","Total Private",74874
"491",1979 Nov,"CEU0500000001","Total Private",74906
"492",1979 Dec,"CEU0500000001","Total Private",75046
"493",1980 Jan,"CEU0500000001","Total Private",73443
"494",1980 Feb,"CEU0500000001","Total Private",73310
"495",1980 Mar,"CEU0500000001","Total Private",73711
"496",1980 Apr,"CEU0500000001","Total Private",73858
"497",1980 May,"CEU0500000001","Total Private",73975
"498",1980 Jun,"CEU0500000001","Total Private",74299
"499",1980 Jul,"CEU0500000001","Total Private",73827
"500",1980 Aug,"CEU0500000001","Total Private",74297
"501",1980 Sep,"CEU0500000001","Total Private",74555
"502",1980 Oct,"CEU0500000001","Total Private",74662
"503",1980 Nov,"CEU0500000001","Total Private",74867
"504",1980 Dec,"CEU0500000001","Total Private",75091
"505",1981 Jan,"CEU0500000001","Total Private",73487
"506",1981 Feb,"CEU0500000001","Total Private",73393
"507",1981 Mar,"CEU0500000001","Total Private",73894
"508",1981 Apr,"CEU0500000001","Total Private",74585
"509",1981 May,"CEU0500000001","Total Private",75115
"510",1981 Jun,"CEU0500000001","Total Private",75977
"511",1981 Jul,"CEU0500000001","Total Private",75883
"512",1981 Aug,"CEU0500000001","Total Private",76124
"513",1981 Sep,"CEU0500000001","Total Private",76188
"514",1981 Oct,"CEU0500000001","Total Private",75892
"515",1981 Nov,"CEU0500000001","Total Private",75584
"516",1981 Dec,"CEU0500000001","Total Private",75277
"517",1982 Jan,"CEU0500000001","Total Private",73292
"518",1982 Feb,"CEU0500000001","Total Private",73154
"519",1982 Mar,"CEU0500000001","Total Private",73351
"520",1982 Apr,"CEU0500000001","Total Private",73675
